Fld_Linked_ID;Fld_Company_ID;Company_Old_Id;Fld_Company_Type_ID;Fld_Company_Country;Fld_Company_City;Fld_Company_State;Fld_Company_Street;Fld_Company_ZipCode;Fld_Company_Fax;Fld_Company_Phone;Fld_Company_Email;Fld_Company_Score;Fld_Company_BAX_Contact;Fld_Remark;Fld_VAT_Nbr;Fld_Date_Of_First_Contact;Fld_Company_Address_Type
5663;5154;;1;AUSTRALIA;;;;;+61 7 3204 2251;+61734805491;;;;;;;
5662;5153;;2;India;;;;;0;0;;;7;;;;
5661;2855;;;France;AEROPORT -  RUE DE LA BELLE BORNE;TREMBLAY EN FRANCE;IMPORT ARRET P5 BATIMENT 2 SOGARIS FRET 5;93290;;;;;6;;;;12
5660;3581;;;USA;Torrance;CA;2565 W. 237th Street;90505;310 891-1248;310 891-0300;;;;From Dec 20th 2010;;;3
5659;1312;;;USA;Wood Dale;IL;"AAR ACS-NY C/O AAR CORP Attn: A/P MS U-30
1100 N. Wood Dale Road";60191;;;;;;;;;2
5658;1755;;;UK;Holbrook Lane;Coventry;Meggitt Aircraft Braking Systems;CV6 4AA;;44 2476 666655;;;;;;;3
5657;5133;;2;USA;;;;;;;;;;;;;
5656;5152;;2;POLAND;;;;;0;0;;;7;;;;
5654;5151;;4;;;;;;971 6 5985101;971 6 5985474;;;;;;;
5653;5150;;4;;;;;;0;0;;;;;;;
5652;709;;1;USA;Lincoln;NE;3410 West Mathis Street;68524;1-402-479-4213;1-402-479-4211;;5;4;;;;5
5651;5149;;1;;;;;;+44 2392 704001;+44 (0) 2392 704390;;;17;;;;
5650;377;;;Denmark;Kaervej 81;Sonderborg;C/O Cimber Air Maintenance Center A/S;DK-6400;;;;;;;;;5
5649;5148;;3;USA;Tamarac;FL;6501b Nob hill Rd.;33321;954 718 4326;954 718 4404;;;;;;;3
5648;1922;;;UNITED KINGDOM;THORPE IND ESTATE;EGHAM SURREY;"C/O x-Pand International Frieght LTD.
CRABTREE ROAD";TW20 8RN;;;;;;;;;14
5647;5147;;2;;;;;;813-54607205;81-98-857-2695;;;;or yoshinao.taniguchi@jalux.com;;;
5646;4925;;;USA;Doral;FL;"TACA Logistics Center
2196 NW 89th Place";33172;;;;;;;;;5
5645;5146;;1;;;;;;619;(619) 258-5220;;;;GKN Aerospace Chem-tronics Inc;;;
5644;5145;;1;;;;;;01;01;;;17;;;;
5643;5144;;3;;;;;;941-637-0388;941-637-8585;;;;;;;
5642;5143;;2;Spain;Palma de Mallorca;;Av. Conde de Sallent 23, 5A;07003;+34 971 728 153;+34 971 575 072;gisella.escobar@albastar.es;;17;;;;
5641;4959;;3;USA;;;;;;;;;;;;;
5640;4957;;3;USA;;;;;;;;;;;;;
5639;1435;;6;;;;;;;;;;;Acoustic Insulation, Crew Seating, Passenger Seating, Pilot Seats, Thermal Insulation;;;
5638;1498;;;Vietnam;Nanoi;;"Supply & Material management Dept.
Nguyenson street";;;;;;;;;;9
5637;5141;;1;Vietnam;Vietnam;;"Hochimin city branch office
Tansnnhat Airport, A75 Troungson ward2";;84 8 3842 4944;84 8 3842 4944;;;;;;;3
5636;5140;;3;;;;;;818-886-8588;818-886-8388 x224;;;;;;;
5635;5139;;2;;;;;;+971 4 216 7809;+971 4 216 7809;;;;;;;
5634;1885;;;USA;Miami;FL;"C/O TAM Linhas Aereas (COMAT) 
6105 NW 18th. St. Bldg 716C – Door # 30";33126;;;;;;;;;12
5633;5138;;4;;;;;;44-1425-279550;44-1425-277550;;;;;;;
5632;5137;;4;;;;;;305;305;;;;;;;
5631;5136;;2;CONGO;BP 4247 – Pointe Noire;;Aéroport de Pointe Noire;;1 786 513 2939;1 786 513 2938;;;6;Regourd Aviation company;;;3
5630;562;;;Maroc;Ben Slimane;Casablanca;Aeroport de Ben-Slimane Hangar 13-14 et 15;13004;212523297730;212523297724;;;;Atlantic Air Industrie Maroc;;;3
5629;5135;;;CONGO;;;"EQUAFLIGHT SERVICE Aéroport de Pointe Noire
BP 4247 – Pointe Noire";;1 786 513 2939;;clungu@regourd.com;;;Constantin Lungu clungu@regourd.com;;;2
5628;5135;;;Maroc;Ben Slimane;;Aeroport de Ben-Slimane Hangar 13-14 et 15;13004;;;;;;Atlantic Air Industrie Maroc;;;3
5627;5135;;;le Bourget;;;rue de Prague bat 433;93350;;;;;;;;;5
5626;5118;;3;USA;;;;;;;;;;;;;
5625;5135;;2;France;Paris;;21 Ave George V;75008;+33 1 74 37 72 19;+33 0 612 030 619;;;14;;;;2
5622;5132;;4;USA;;;101 5th Ave Mckeesport, PA 15132;;00;+971-50-5857157;;;;;;;
5621;5131;;2;Poland;;;;;0;0;;;7;Splited from LOT Aug 2010;;;
5620;5130;;3;Italy;C/O Aeroprto militare;Brindisi;Via U. Maddalena;72011;39 041 269 3984;39 041 269 3983;;;;;;;5
5619;5129;;5;;;;;;262) 367-7158;(262) 367-2292;;;;;;;
5618;5128;;4;;;;;;0;0;;;;;;;
5617;5127;;3;;;;;;61 7 3860 6255;61 7 3622 8000;;;;;;;
5616;1292;;;TANZANIA;DAR ES SALAAM;;"AIR TANZANIA - JULIUS NYERERE AIRPORT
TERMINAL ONE -";;011 255-22-2113114;011 255-22-2711500;;;;Attn: Hamisi Zahabu;;;14
5615;1654;;;;;;;;;;;;;;;;
5614;4713;;;United Arab Emirates;Sharjah;;"PO BOX 8301
Building No. Z3, Office No. 44";;;;;;;;;;
5613;4303;;1;;;;;;;;;;;Sibir Technics Ltd.;;;
5612;5126;;3;USA;;;;;305;305)407-8222 / (305)407-8568;;;;;;;
5611;1203;;;DENMARK;"INDENRIGSGARDEN; STANDPLADA A28;";KASTRUP;COPENHAGEN AIRPORT, TERMINAL 1;2770;;;;;;;DK27513050;;8
5610;5107;;9;USA;MIAMI;FL;7517-21 NW 52ND STREET;33166;;1 305 718-3799;;;;;;;12
5609;5125;;1;USA;;;;;480-377-3106;480-377-3167;;;;;;;
5608;5124;;3;;;;;;1-253-872-6575;1-253-872-6180;;;;;;;
5607;5123;;10;United Kingdom;Edinburgh Airport;Edinburgh;Building 92 , General Aviation Terminal;EH12 9DN;44 131 339 9984;44 131 339 9975;;;;;;;3
5606;317;;;;;;"BUILDING 92 , GENERAL AVIATION TERM
EDINBURGH AIRPORT";;;;;;;;;;
5605;1198;;;United Kingdom;SL3 0QT;COLNBROOK, SLOUGH;"C/O MERIDIAN FREIGHT SERVICES LTD
UNIT 5 THE POLYGON BUSINESS";SL3 0QT;;;;;;;;;1
5604;5122;;4;;;;;;34;34;;;;;;;
5603;3770;;1;Germany;;;;;;;;;7;;;;
5602;5121;;3;;;;;;44-1702291166;44-1702290090;;;;;;;
5601;5120;;4;;;;;;206) 203-4076;561-953-3285;;;;ATTENTION BROKER POURRI - INFO DE DART;;;
5600;377;;;Sweden;TROLLHÄTTAN;;Trollhättan Vänersborgs Flygplats;SE-461 93;;;;;;;SE556228636801;;2
5599;5114;;10;;;;;;603 -7846 3797;603 -7840 3547;;;;;;;
5598;5113;;3;;;;;;305-477-8615;1-305-477-8614;;;;;;;
5597;2171;;2;;;;;;;;;;;;;;
5596;5112;;3;;;;;;1-954-791-0986;1-954-791-9728;;;;;;;
5595;5111;;3;;;;;;1-832-;1-832-692-7996;;;;;;;
5594;5110;;3;;;;;;1-800-957-2379;1-800-962-7418;;;;;;;
5593;5109;;4;;;;;;305-926-3954;305-235-3338;;;;;;;
5592;5108;;6;;;;;;803-245-4146;803-245-4347;;;;;;;
5591;511;;;FRANCE;ORLY;;ORlY CLO BATIMENT N°19 - 2 ANCIENNE ROUTE DE FONTAINEBLEAU - LIVRAISON AU MAG AIRLINAIR BAT 432;94396;;;;;;GEODISEUROMATIC POUR AIRLINAIR;FR73421393208;;10
5590;5107;;9;;;;;;01 34 29 09 88;01 34 38 58 06;;;;;;;
5589;5106;;3;USA;;;;;1-954 533-6725;1-954 549-9047;;;;;;;
5588;5105;;5;USA;St. Charles;IL;"P.O. Box 3550
1775 Wallace Ave.";60174;0;0;;;;Aircraft Lamp;;;
5587;5104;;1;USA;URBANA;OHIO;550 State Road 55;43078;00;00;;;;;;;3
5586;5103;;1;;;;;;0;0;;;;;;;
5585;3832;;;Malaysia;;;"105  Mersing,Jh 86800
Mersing,Jh 86800";86800;;;;;;;;;
5584;3381;;;NEPAL;LALITPUR;KATHMANDU;C/O CARGO PACKERS & MOVERS P. LTP;;;;;;;;;;3
5583;5102;;2;Morocco;Casablanca;;"11 Rue Michel-Ange
Quartier Racine";20050;0;0;;;14;;;;3
5582;5101;;2;;;;;;0;0;;;;;;;
5581;1054;;;Canada;Admonton;Alberta;"5th Avenue & Service Road
Edmonton INT’L Airport";T5J 2T2;;;;;;;;;9
5580;5100;;3;;;;;;305)255-7501;305)255-7556;;;;;;;
5579;5099;;3;;;;;;905-405-9031;905-405-9355;;;;;;;
5578;5098;;4;;;;;;56-382-9666;256-851-9005;;;;;;;
5577;5097;;3;;;Miramar, FL 33023;;;3;3;;;;;;;
5576;5096;;2;Saudi Arabia;;;;;966 2 665 6044;966 2 665 2765;;;;;;;
5575;5095;;4;USA;FORT LAUDERDALE;FL;6278 N FEDERAL HWY  #162;33308;954-535-9691;954-338-3840;;;;;;;3
5574;5094;;2;Nigeria;;;;;0;0;;;7;;;;
5573;5093;;2;Nigeria;;;;;0;0;;;17;;;;
5572;5092;;2;Nigeria;;;;;0;0;;;17;;;;
5571;5091;;2;Nigeria;;;;;0;0;;;17;;;;
5570;5090;;2;Nigeria;;;;;0;0;;;7;;;;
5569;5089;;2;Nigeria;;;;;;;;;7;;;;
5568;315;;9;FRANCE;ROISSY - CDG;;3 RUE DU REMBLAI - ZONE DE FRET 3 - BAT 4;95706;;+33 1 49191555;;;;LIVRER AU RDC POUR LES AOG;;;7
5567;5088;;3;;;;;;91.22.2761.9128;91.22.6626.9918;;;;;;;
5566;5087;;3;;;;;;0;0;;;;;;;
5565;2807;;3;France;Tremblay en france;;50, rue des Chardonnerets Actipark-lot 4-;93290;;+33 1 49 38 06 48;;;6;;;;3
5564;549;;;UK;Coinbrook Slough;Berkshire;"Unit 10, Polygon Bus. Centre
Blackthorn Road";SL3 0QT;;;;;;;;;12
5563;5086;;6;;;;;;336-766-9064;336-714-1332;;;;;;;
5562;1524;;1;USA;Greensboro;NC;108 Landmark Drive;27409;;336-605-8000;;;;;;;3
5561;164;;1;USA;Miami;FL;11700 NW 102nd Road, Suite #6;33178;305-477-9799;305-477-4711;;;;Aviation Services Company - Miami;;;5
5560;5085;;4;CANADA;;;;;000;000;;;;;;;
5559;5084;;2;Germany;Saarbrücken;;Flughafen Saarbrücken;66131;49 6893 8004 6935;49 6893 8004 6930;;;17;;;;3
5558;5083;;;SINGAPORE;NO 7 FAN YOONG ROAD;;C/O SHAHIRA FREIGHT FORWARDERS;629785;;;;;;;;;12
5557;5083;;2;INDONESIA;;JAKARTA;HALIM PERDANA KUSUMA AIRPORT;13610;62-813 830 56172;62-21-8093428;;;;;;;3
5556;5082;;;USA;West Palm Beach;Florida;5600 N Flagler Dr Suite 2101;33407;;;;;;;;;2
5555;5082;;3;USA;West Palm Beach;Florida;1401 Mercer Ave Unit 2046;33401;561 281;561 281 6178;;;;;;;3
5554;5081;;3;Germany;;;;;0;0;;;;;;;
5553;5080;;3;;;;;;1847-717-0400;7;;;;;;;
5552;5079;;2;Zambia;;;;;1;1;;;17;;;;
5551;843;;;MALAWI;CHILEKA AIRPORT;BLANTYRE;TECHNICAL STORES;;0112651692316;0112651620177;;;;;;;5
5550;5078;;3;;;;;;-3055513436;1-7862217019;;;;;;;
5549;307;;;USA;Coon Rapids;Minnesota;8840 Evergreen Blvd;55433-6040;;602-365-3960;;;;;;;12
5547;5077;;3;;;;;;0;0;;;;;;;
5546;955;;;USA;Houston;Texas;"700 N. Sam Houston Parkway West St. 200
Dept. XJTAP";77067;;;;;;;;;2
5545;5076;;9;;;;;;33.1 4863.0911;33 1 4863.9054;;;;NST;;;
5544;5075;;1;;;;;;321-255-9608;321-255-9877 Ext. 235;;;;;;;
5543;5074;;1;;;;;;321-255-9608;321-255-9877 Ext. 235;;;;;;;
5542;4459;;2;Georgia;;;;;;;;7;3;Jet Ukraine;;;
5541;2143;;2;Canada;;;;;;;;;;;;;
5540;4804;;2;Romania;;;;;;;;;;;;;
5539;5073;;4;India;;;;;0;0;;;;;;;
5538;5072;;2;Republic of Yemen;Sana'a;;P.O. Box 19102;;0;0;;;14;;;;
5537;3585;;2;Belgium;;;;;;;;7;3;;;;
5536;5071;;2;Nigeria;;;;;0;0;;;7;;;;
5535;766;;2;Belgium;;;;;;;;7;3;DHL;;;
5534;5070;;4;;;;;;0;0;;;;;;;
5533;5069;;2;Belgium;;;;;0;0;;;;;;;
5532;5068;;3;;;;;;0;0;;;;;;;
5531;5067;;3;;;;;;317) 745-6700;317) 745-6600;;;;;;;
5530;5066;;2;;;;;;(310)524-1091;310)524-1039;;;;;;;
5529;5065;;3;;;;;;201-387-6111;201-387-6161;;;;;;;
5528;5064;;2;Victoria Island Lagos;;;;;234;234 1 2707063;;;;;;;
5527;5063;;4;;;;;;7;786-357-5079;;;;;;;
5526;5062;;;Tunisia;;;;;;;;;;;;;
5525;5062;;3;France;;;;;0;0;;;;;;;
5523;5060;;1;;;;;;44 (0)1189 794 511;44 (0)1189 789 789;;;;Fuel , Fire vO2 Equipment Rep;;;
5522;2783;;2;Greece;;;;;;;;;;;;;
5521;5059;;6;France;Saint Aygulf;;213 avenue CASTILLON;83370;04 9481 7259;04 9481 7213;;;;www.vibratech.fr;;;5
5520;5058;;1;;;;;;1-305-513-3067;1-305-513-3066;;;;Free;;;
5519;5057;;1;;;;;;1-305-513-3067;1-305-513-3066;;;;;;;
5518;3804;;;Kazhakstan;Almaty;;"VP Engineering; 8A, Akhmetov str.";"050039;";;;;;;;;;2
5517;5056;;3;;;;;;0;0;;;;;;;
5516;5055;;3;;;;;;1-425-740-0118;1-360-652-3333;;;;;;;
5515;5054;;3;;;;;;913-499-6458;913-499-6458;;;;;;;
5513;5053;;2;Belgium;;;;;0;0;;;17;;;;
5512;5052;;2;SPAIN;;;;;0;0;;;14;;;;
5511;5051;;4;;;;;;4;443-738-0890;;;;;;;
5510;5031;;2;Sweden;;;;;;;;;;Avia Express see SKYWAYS Sweden;;;
5509;2404;;;;LAS PALMAS DE GRAN CANARIA;SPAIN;ISLAS AIRWAYS - AEROPUERTO DE GRAN CANARIA;;00-34-928-578965;00-34-928-579762;;;6;;;;5
5508;5050;;3;;;;;;0;0;;;;;;;
5507;5049;;4;;;;;;0;0;;;;;;;
5506;5048;;2;INDONESIA;CENGKARENG, JAKARTA;;W.HOUSE CGK, TRM' 1B SOEKARNO HATTA;19111;;62 31 8686480;;;7;;;;3
5505;4852;;1;USA;Norristown;Pennsylvania;750 West Washington Street;19401;610-275-5878;610-272-1945;;;;Chroming facility;;;5
5504;2530;;;Malta;Malta International Airport, Luqa;LQA 4000;P.O. BOX 48;;;;;;;;MT10948036;;2
5503;979;;6;United Kingdom;Bucks;;Unit 6 Century Point, Halifax Road, High Wycombe;HP12 3SL;+44 1494 455400;+44 1494 555466;www.parker.com;;;;;;12
5502;979;;6;USA;Irvine;CA;14300 Alton Parkway;92618;;;www.parker.com;;;;;;9
5501;5047;;2;Egypt;;;;;0;0;;;7;;;;
5500;4932;;1;Argentina;;;;;;;;7;3;;;;
5499;5046;;1;;;;;;1520-889-8848;520-889-8818 X120;;;;;;;
5498;5045;;1;Canada;Charlottetown;PE;34 Belmont Street;C1A-5H2;902 370 3313;902 370 3311;;;;;;;3
5497;5044;;2;SPAIN;;;;;0;0;;;14;OLD CANARIFLY and TOP FLY;;;
5496;5043;;2;China;;;;;0;0;;;7;;;;
5495;5042;;3;Miami;;;;;0;0;;;;;;;
5494;5041;;2;Germany;;;;;0;0;;;7;;;;
5493;1712;;2;Germany;;;;;;;;;3;;;;
5492;5040;;6;France;;Toulouse;57 Chemain du Sang de Serf;31200;33;33;;;;;;;
5491;5039;;2;;;;;;2;2;;;;Turkey leased two used A320s (TBA) with CFM56s from ILF;;;
5490;5038;;4;;;;;;7;786-4234419;;;;;;;
5489;5037;;3;;;;;;352;352-621-459-500;;;;;;;
5488;5036;;1;;;;;;305;786)275-3890 ext. 8004;;;;;;;
5487;5035;;3;USA;Anthem;;4225 W. Fortune Drive;AZ 85086;1;1-623-266-1900;;;;;;;3
5486;5034;;3;;;;;;5;514-453-1632;;;;;;;
5485;5033;;4;Bangladesh;Dhaka;;;;0;0;;;7;Agent in Bangladesh;;;
5484;5032;;4;Libyan Arab Jamahiriya;TRIPOLI;;ALSHAT ST.;56467;0;0;;;;;;;
5483;1203;;;Denmark;KASTRUP;;KASTRUP Airport, Dom' Terminal A28;DK-2770;;;;;;;DK33473516;;6
5481;2670;;;USA;LaGrange;GA;112 Gordon Commercial Dr.Suite A;30240;;;;;;;;;12
5480;5030;;4;USA;;;;;1-954.960.8887;1-954.960.8886;;;;;;;
5479;5029;;4;France;;;;;01 46 75 38 95;01 46 75 00 44;;;;;;;
5478;445;;;France;Roissy en France;;zac du moulin, 9 rue du noyer;95700;;;;;;;;;8
5477;5028;;1;;;;;;305-592-7624;305-592-6219;;;;;;;
5476;534;;;FRANCE;AEROPORT RUE DE LA BELLE BORNE;TREMBLAY;"C/O AIR FRANCE INDUSTRIES / BL.LR 
BATIMENT 2 SOGARIS FRET 5";93290;;;;;;;;;12
5475;5027;;3;;;;;;305;305-764-3239;;;;;;;
5474;5026;;1;USA;Cleburne;TEXAS;3213 N. Main St;76033;817.558.4940;817.558.4942;;;;;;;3
5473;5025;;4;USA;;;;;562-863-0536;562-863-0568;;;;;;;
5472;5024;;4;;;;;;(323) 967-2272;(323) 852-0070;;;;;;;
5471;633;;;UK;Penge;London;33 Oke filed Road;SE20 8EW;;;;;;Indicators repairs;;;5
5470;1684;;;USA;Houston;TX;6961 Brookhollow West Drive;77040;;;;;;North & Latin America Address;;;9
5469;1684;;;France;LA Ferte Bernard;;Route de Bonnetable BP 20154;72406;02 43 60 28 70;02 43 60 28 60;;;;New address;;;3
5468;5023;;3;;;;;;305;8;;;;;;;
5467;5021;;3;;;;;;817-491-7129;817-491-7125;;;;;;;
5466;5020;;6;;;;;;817-654-3405;817-451-1141 X 232;;;;www.vivisun.com;;;
5465;5019;;3;;;;;;49-421-2436974;49-421-24289376;;;;;;;
5464;5018;;3;Singapore;Textile Centre;;200 Jalan Sultan #08-07;199018;0;0;;;;;;;
5463;5017;;1;Puerto Rico;Carolina;;LMM International Airport;00982;817-931-8231;817-931-8232;;;;;;;3
5462;5016;;4;;;;;;7025770796;7024307279;;;;;;;
5461;137;;1;USA;Cleburne;TX;3213 North Main Street;76033;;;;;;;;;5
5460;5015;;1;Canada;Calgary;Alberta;Suite 1, 1060 McTavish Road N.E.;T2E 7G6;1-403-717-9733;1-403-717-9730;;;;;;;3
5459;5014;;6;;;;;;631-981-7225;631-981-6670;;;;;;;
5458;5013;;3;;;;;;630-980-8358;630-980-2356;;;;;;;
5457;5012;;4;;;;;;62217291222;62217292111;;;;;;;
5456;671;;;Canada;Mississauga;;6500 Van Deemter Ct;;;905-564-5555;;;;GEO Express;;;
5455;3616;;3;;;;;;;;;;;;;;
5454;5011;;3;;;;;;0;0;;;;;;;
5453;4822;;;BURKINA FASO;OUAGADOUGOU;;MINISTERE DE LA SECURITE;B.P. 6466;;;;;;Mr. Zalla OMAR;;;3
5452;5010;;4;;;;;;0;0;;;;;;;
5451;5009;;1;USA;City of Industry;CA;665 North Baldwin Park Boulevard;91746;626 851 3101;626 851 3100;;;;;;;3
5450;5007;;;FRANCE;CLERMONT FERRAND;;89 RUE DES PLANCHETTES;63100;04 73 74 36 73;09 61 53 76 92;;;;EMB145 & F100;;;2
5449;5008;;4;Sweden;Arlanda Airport, Stockholm;;Teknikbacken st, Building 097;SE-190 45;0;0;;;;;;;3
5448;5007;;1;FRANCE;CLERMONT FERRAND;;c/o Mag. Enhance Aero Z.I AERO. SUD;63100;04 73 74 36 73;09 61 53 76 92;;4;8;EMB145 & F100;FR 46 500 592 050;;3
5447;5006;;3;United Arab Emirates;;;;;0;0;;;;;;;
5446;5005;;6;France;F-80084 AMIENS CEDEX 02;;10 RUE ROGER DUMOULIN;;03 22 54 47 56;03 22 54 46 36;;;;;FR19433803012;;3
5445;5004;;4;;;;;;0;0;;;;;;;
5444;5003;;2;Venzuela;;Estado Zulia;Aerorto La Chinita Maracaibo;;261 7352732;261 7302930;;;;;;;
5443;5002;;2;;;;;;212;212;;;;Egypt leased two used Airbus A320-200 aircraft from ILFC;;;
5442;5001;;1;UK;Aviation way, Southend on Sea;Essex;London Southend Airport;SS2 6UN;44 1702 530932;44 1702 530931;;;;;;;3
5441;5000;;4;Bangladesh;;;;;0;0;;;;;;;
