Part Number,,Cond,Qty In Stock,UM,Description,,W/H,Serial No.,,Reserved Qty,,,
9069A1003-02,,AR,1,EA,ACTUATOR,,Airbus,2434,,0,,,
93835S0CN920307-4-J,,AR,1,EA,FILTER ASSY,,Airbus,18350/1491,,0,,,
93835S0CN920307-4-J,,AR,1,EA,FILTER ASSY,,Airbus,18350/1459,,0,,,
93N6035,,AR,1,EA,ELT,,Airbus,422884,,0,,,
93N6035,,AR,1,EA,ELT,,Airbus,226641,,0,,,
94-0500-00-00X,,AR,1,EA,"TANK ASSY, WATER",,Airbus,2075,,0,,,
94830-04,,AR,1,EA,BRACKET,,Airbus,4845,,0,,,
94830-05,,AR,1,EA,BRACKET,,Airbus,5297,,0,,,
19000-131,,SV,1,EA,"RELAY, ASSY, MOTOR STARTING",,Embraer,802,,0,,,
94830-06,,AR,1,EA,BRACKET,,Airbus,6482,,0,,,
94830-09,,AR,1,EA,"ISOLATOR ASSY, APU, FWD",,Airbus,1588,,0,,,
94830-11,,AR,1,EA,"ISOLATOR ASSY, APU, AFT",,Airbus,1591,,0,,,
19000-195,,SV,1,EA,MAST-DRAIN,,Embraer,MBDT070-18,,0,,,
19000-200-401,,SV,1,EA,SENSOR-WASTE LEVEL FULL,,Embraer,784,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,42906,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,43120,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,28056,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,43119,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,40276,,0,,,
19000-780,,SV,1,EA,VALVE-POTABLE WATER FILL & DRAIN,,Embraer,485,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,40270,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,40277,,0,,,
9599-607-12352,,AR,1,EA,ANTENNA - RADIO ALTIMETER,,Airbus,40278,,0,,,
95N6088,,AR,1,EA,ELT A06,,Airbus,4241616,,0,,,
95N6088,,AR,1,EA,ELT A06,,Airbus,2131050,,0,,,
9615325060,,AR,1,EA,DSPLY MNGMT COMPUTER,,Airbus,9.98256E+11,,0,,,
9615325060,,AR,1,EA,DSPLY MNGMT COMPUTER,,Airbus,4275,,0,,,
9615325060,,AR,1,EA,DSPLY MNGMT COMPUTER,,Airbus,1148,,0,,,
9615325060,,AR,1,EA,DSPLY MNGMT COMPUTER,,Airbus,1521,,0,,,
963A0000-02,,AR,1,EA,"VALVE,TRIM AIR",,Airbus,4101,,0,,,
963A0000-02,,AR,1,EA,"VALVE,TRIM AIR",,Airbus,3502,,0,,,
965-1676-001,,AR,1,EA,EGPWS - ENHANCED GROUND PROXIMITY WARNING COMPUTER,,Airbus,EMK5-16390,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,ST95648,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,ST91319,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,ST95495,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,ST42395,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,526443,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,321712,,0,,,
9700-C1A-F23AN,,AR,1,EA,OXYGEN PORTABLE CYLINDER ASSEMBLY,,Airbus,P08053491,,0,,,
972C10-1,,AR,1,EA,"VALVE, SHUTTLE",,Airbus,1050,,0,,,
9811795,,AR,1,EA,CHECK VALVE,,Airbus,FRTR 325BA,,0,,,
9811795,,AR,1,EA,CHECK VALVE,,Airbus,FRTR 327BA,,0,,,
986F12-1,,AR,1,EA,PRESS SERV CHK VALVE,,Airbus,1122,,0,,,
986F12-1,,AR,1,EA,PRESS SERV CHK VALVE,,Airbus,1125,,0,,,
9EL410333-01,,AR,1,EA,STROBE LIGHT COVER,,Airbus,N/A,,0,,,
9EL410333-01,,AR,1,EA,STROBE LIGHT COVER,,Airbus,NSN,,0,,,
A06L00,,AR,1,EA,ACTUATOR,,Airbus,6861,,0,,,
A12SA,,AR,1,EA,VOICE GUN/ELEC MEG PHONE,,Airbus,,,0,,,
A12SA,,AR,1,EA,VOICE GUN/ELEC MEG PHONE,,Airbus,,,0,,,
A25315-1,,AR,1,EA,PARK BRKOPERT VALVE,,Airbus,H3851,,0,,,
A25316-101,,AR,1,EA,VALVE,,Airbus,U1308,,0,,,
A25434006-200,,AR,1,EA,VALVE - DUAL DISTRIBUTION,,Airbus,H77,,0,,,
A80986-2,,AR,1,EA,VALVE BODY,,Airbus,N/A,,0,,,
AA50004-4,,AR,1,EA,"CABIN UNIT, WALL MOUNT (GEC SENSORS)",,Airbus,818700,,0,,,
ABS0309-03,,AR,1,EA,SWITCH-LIMIT,,Airbus,N / A,,0,,,
AC40-0217100,,AR,1,EA,NET-DOOR TYPE B,,Airbus,66914/3/003,,0,,,
AC40-0217200,,AR,1,EA,NET-DOOR,,Airbus,23994/003,,0,,,
AC40-0217400,,AR,1,EA,"NET, DOOR",,Airbus,103251/11/005,,0,,,
AC40-0217500,,AR,1,EA,NET DIVIDER,,Airbus,72656/4/011,,0,,,
AC68A100,,AR,1,EA,MDDU-M DISK DRIVE UNT,,Airbus,833,,0,,,
AL-RF15-100-2,,AR,1,EA,REFRIGERATOR,,Airbus,209,,0,,,
APTE182-30BARG,,AR,1,EA,PRESSURE TRANSDUCER,,Airbus,7520-10-785,,0,,,
APTE182-30BARG,,AR,1,EA,PRESSURE TRANSDUCER,,Airbus,7520-10-861,,0,,,
APTE182-30BARG,,AR,1,EA,PRESSURE TRANSDUCER,,Airbus,7097-9-195,,0,,,
APTE182-30BARG,,AR,1,EA,PRESSURE TRANSDUCER,,Airbus,10/18/7915,,0,,,
APTE182-30BARG,,AR,1,EA,PRESSURE TRANSDUCER,,Airbus,7097-8-66,,0,,,
AR4709-3,,AR,1,EA,"CONTROLLER, CDLS",,Airbus,N-C3194,,0,,,
AR4709-3,,AR,1,EA,"CONTROLLER, CDLS",,Airbus,N-C3162,,0,,,
AT-10-4501-01,,AR,1,EA,CABIN ANTENNA,,Airbus,NSN,,0,,,
AT-10-4513-01,,AR,1,EA,CABIN ANTENNA,,Airbus,NSN,,0,,,
B372BAM0511,,AR,1,EA,SPOILER ELEVATOR COMPUTER,,Airbus,6113,,0,,,
B401ACM0507,,AR,1,EA,CF DIU-C F D1SPLY UNT,,Airbus,723,,0,,,
B546CCM0106,,AR,1,EA,FLIGHT MANAGMENT COMPUTER,,Airbus,5894,,0,,,
B546CCM0106,,AR,1,EA,FLIGHT MANAGMENT COMPUTER,,Airbus,Q00194008068,,0,,,
B546CCM0106,,AR,1,EA,FLIGHT MANAGMENT COMPUTER,,Airbus,6136,,0,,,
B924-90270-000-00,,AR,1,EA,SECTION TRANSVERSE,,Airbus,NSN,,0,,,
BA21741GSR-2,,AR,1,EA,"FIRE EXT BOTTLE,PXICBN",,Airbus,73831,,0,,,
BA21741GSR-2,,AR,1,EA,"FIRE EXT BOTTLE,PXICBN",,Airbus,61342,,0,,,
BA21741GSR-2,,AR,1,EA,"FIRE EXT BOTTLE,PXICBN",,Airbus,61364,,0,,,
BA21741GSR-2,,AR,1,EA,"FIRE EXT BOTTLE,PXICBN",,Airbus,61355,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,26116,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,24580,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,28833,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,35942,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,28858,,0,,,
BA24320A-1,,AR,1,EA,"FIRE EXT BOTTLE, LAV",,Airbus,35489,,0,,,
BC2065C,,AR,1,EA,SELCAL CODE PANEL,,Airbus,1414,,0,,,
BC2065C,,AR,1,EA,SELCAL CODE PANEL,,Airbus,2065-3526,,0,,,
BHC1060-04,,AR,1,EA,HYDRAULIC CONTROL UNIT,,Airbus,1921,,0,,,
BMA3603AA01,,AR,1,EA,AUDIO JUNCTION BOX,,Airbus,3603-1489,,0,,,
C12404AA01,,AR,1,EA,"CONTROL UNIT - ATC, TCAS",,Airbus,367,,0,,,
C16291AA,,AR,1,EA,SENSOR-ANGLE OF ATTACK,,Airbus,2281,,0,,,
C16291AA,,AR,1,EA,SENSOR-ANGLE OF ATTACK,,Airbus,4614,,0,,,
C16291AA,,AR,1,EA,SENSOR-ANGLE OF ATTACK,,Airbus,12555,,0,,,
C16291AA,,AR,1,EA,SENSOR-ANGLE OF ATTACK,,Airbus,10170,,0,,,
C19BQ0014,,AR,1,EA,RESERVOIR - HYDRAULIC BLUE,,Airbus,606,,0,,,
C19BQ0016,,AR,1,EA,BLUE HYD RESERVOIR,,Airbus,234,,0,,,
C19BQ0016,,AR,1,EA,BLUE HYD RESERVOIR,,Airbus,1162,,0,,,
C19DS0014,,AR,1,EA,"RESERVOIR - HYDRAULIC, YELLOW",,Airbus,604,,0,,,
C19DS0016,,AR,1,EA,YELLOW HYD RESERVOIR,,Airbus,103,,0,,,
C19DS0016,,AR,1,EA,YELLOW HYD RESERVOIR,,Airbus,1172,,0,,,
C19DS0024,,AR,1,EA,"RESERVOIR-HYDRAULIC, GREEN",,Airbus,607,,0,,,
C19DS0026,,AR,1,EA,GREEN HYD RESERVOIR,,Airbus,99,,0,,,
C19DS0026,,AR,1,EA,GREEN HYD RESERVOIR,,Airbus,1153,,0,,,
C20105000,,AR,1,EA,MLG TACHOMETER,,Airbus,14898,,0,,,
C20105000,,AR,1,EA,MLG TACHOMETER,,Airbus,14890,,0,,,
C20105000,,AR,1,EA,MLG TACHOMETER,,Airbus,14896,,0,,,
C202163392E34,,AR,1,EA,BSCU BRAKE STEERING,,Airbus,5398,,0,,,
C24592000-1,,AR,1,EA,HYD MASTER CYLINDER,,Airbus,H2117,,0,,,
C24592000-1,,AR,1,EA,HYD MASTER CYLINDER,,Airbus,H1656,,0,,,
C24730001-6,,AR,1,EA,NLG UPLOCK,,Airbus,H3564,,0,,,
C24730001-6,,AR,1,EA,NLG UPLOCK,,Airbus,U875,,0,,,
C24730100,,AR,1,EA,NLG DOOR UPLOCK,,Airbus,U431,,0,,,
C24739001,,AR,1,EA,MANIFOLD-BRAKE L/H,,Airbus,H1704,,0,,,
C24740001,,AR,1,EA,MANIFOLD-BRAKE R/H,,Airbus,H1711,,0,,,
C24837101-3,,AR,1,EA,MANIFOLD-NORMAL BRAKE ASSY,,Airbus,H4348,,0,,,
C82LL0010,,AR,1,EA,HYD RSRV DRAIN VALVE,,Airbus,3460,,0,,,
C93R38-601,,AR,1,EA,FUEL PUMP CANISTER,,Airbus,B03784,,0,,,
C93R38-601,,AR,1,EA,FUEL PUMP CANISTER,,Airbus,B03785,,0,,,
C93R38-606,,AR,1,EA,"PUMP, FUEL CANISTER",,Airbus,B03806,,0,,,
C93R38-606,,AR,1,EA,"PUMP, FUEL CANISTER",,Airbus,B03800,,0,,,
C93R38-606,,AR,1,EA,"PUMP, FUEL CANISTER",,Airbus,A24385,,0,,,
C93R38-606,,AR,1,EA,"PUMP, FUEL CANISTER",,Airbus,B03793,,0,,,
CMK80-01,,AR,1,EA,PRESSURE SWITCH,,Airbus,2235,,0,,,
CN120,,AR,1,EA,VALVE - MANUAL CONTROL,,Airbus,466,,0,,,
CN120,,AR,1,EA,VALVE - MANUAL CONTROL,,Airbus,465,,0,,,
CT191B,,AR,1,EA,AIR CHECK VALVE,,Airbus,2139,,0,,,
CZ9284E,,AR,1,EA,TRANSDUCER - PRESSURE,,Airbus,HEK30208,,0,,,
D0001039000000,,AR,1,EA,FAIRING ASSY-MOVEABLE,,Airbus,SC2717,,0,,,
D00010390000BL,,AR,1,EA,FAIRING ASSY-MOVABLE LH,,Airbus,N/A,,0,,,
D0001039000100,,AR,1,EA,FAIRING ASSY-MOVEABLE R/H,,Airbus,SC1976,,0,,,
D00010390001BL,,AR,1,EA,FAIRING ASSY-MOVABLE RH,,Airbus,N/A,,0,,,
D06A00,,AR,1,EA,VALVE-FILL AND DRAIN,,Airbus,232,,0,,,
D2121139100000,,AR,1,EA,AIR OUTLET INDICATOR COCKPIT,,Airbus,843,,0,,,
D2121139100000,,AR,1,EA,AIR OUTLET INDICATOR COCKPIT,,Airbus,501,,0,,,
D2127415000200,,AR,1,EA,DUCT ASSY,,Airbus,524,,0,,,
D2127415100000,,AR,1,EA,DUCT ASSY,,Airbus,N/A,,0,,,
D2157110002200,,AR,1,EA,INLET ASSY RAM AIR RH,,Airbus,1984,,0,,,
D2157120101400,,AR,1,EA,DUCT,,Airbus,NSN,,0,,,
D2157180002200,,AR,1,EA,MAIN DUCT-HEAT SECONDARY,,Airbus,N/A,,0,,,
D23969-125,,AR,1,EA,LIFE RAFT - 10 PERSON,,Airbus,5077A,,0,,,
D27270001014,,AR,1,EA,RUDDER CONTROL UNIT,,Airbus,TH2544,,0,,,
D2727025120000,,AR,1,EA,SPRING ROD,,Airbus,814,,0,,,
D272-70400-010,,AR,1,EA,"SOLENOID-ART, FEEL RUDDER",,Airbus,TH-1024,,0,,,
D2755001500000,,AR,1,EA,FLAP CONT ARM,,Airbus,N/A,,0,,,
D2755001500100,,AR,1,EA,FLAP CONTROL ARM,,Airbus,N/A,,0,,,
D2755001600000,,AR,1,EA,FLAP CONTROL ARM,,Airbus,N/A,,0,,,
D2755001600100,,AR,1,EA,FLAP CONTROL ARM,,Airbus,N/A,,0,,,
D2755001700000,,AR,1,EA,FLAP CONT ARM,,Airbus,N/A,,0,,,
D2785001700100,,AR,1,EA,FLAP CONTROL ARM,,Airbus,N/A,,0,,,
D28104000-000,,AR,1,EA,FUEL DRAIN TOOL,,Airbus,N/A,,0,,,
D28150030006,,AR,1,EA,FUEL TUBE,,Airbus,N/A,,0,,,
D2815003000702,,AR,1,EA,FUEL TANK,,Airbus,AF3039,,0,,,
D282-70039-006-00,,AR,1,EA,APU DRAIN MAST,,Airbus,TH-03004,,0,,,
D2907017000400,,AR,1,EA,HYDRAULIC MANIFOLD,,Airbus,N/A,,0,,,
D2907017400000,,AR,1,EA,MANIFOLD,,Airbus,505,,0,,,
D2907017400000,,AR,1,EA,MANIFOLD,,Airbus,927,,0,,,
D2907017400000,,AR,1,EA,MANIFOLD,,Airbus,N/A,,0,,,
D2907017500200,,AR,1,EA,MANIFOLD,,Airbus,1291,,0,,,
D2907023400000,,AR,1,EA,UNION- PWR TRANSFER SPCL,,Airbus,N/A,,0,,,
D2907023400000D,,AR,1,EA,"CONNECTOR, HYDRAULIC",,Airbus,743,,0,,,
D2907023400000D,,AR,1,EA,"CONNECTOR, HYDRAULIC",,Airbus,1847,,0,,,
D3221011600200,,AR,1,EA,ROD ASSY NLG W/W ADJUSTABLE,,Airbus,N/A,,0,,,
D3221011600200,,AR,1,EA,ROD ASSY NLG W/W ADJUSTABLE,,Airbus,NSN,,0,,,
D3221011600400,,AR,1,EA,ROD ASSY-ADJUSTABLE,,Airbus,13861,,0,,,
D3221011600400,,AR,1,EA,ROD ASSY-ADJUSTABLE,,Airbus,20888,,0,,,
D3221011600400,,AR,1,EA,ROD ASSY-ADJUSTABLE,,Airbus,N/A,,0,,,
D3221011600400,,AR,1,EA,ROD ASSY-ADJUSTABLE,,Airbus,NA,,0,,,
D3221401500351,,AR,1,EA,MECHANISM-DR OPS,,Airbus,N/A,,0,,,
D323-70101-000,,AR,1,EA,MANIFOLD-FUSES,,Airbus,1830,,0,,,
D3237010100000,,AR,1,EA,DUAL VALVE-SAFETY,,Airbus,403,,0,,,
D323-70101-000-00F,,AR,1,EA,"VALVE, BLOCK",,Airbus,695,,0,,,
D3237010500400,,AR,1,EA,MANIFOLD ASSY,,Airbus,N/A,,0,,,
D3237010500400,,AR,1,EA,MANIFOLD ASSY,,Airbus,NSN,,0,,,
D3237010900400,,AR,1,EA,VALVE ASSY,,Airbus,N/A,,0,,,
D3247010400200,,AR,1,EA,MANIFOLD ASSY,,Airbus,N/A,,0,,,
D3611018500800,,AR,1,EA,DUCT ASSY LH,,Airbus,N/A,,0,,,
D3611018500900,,AR,1,EA,DUCT ASSY RH,,Airbus,N / A,,0,,,
D3611018500900,,AR,1,EA,DUCT ASSY RH,,Airbus,N / A,,0,,,
D52000-42000,,AR,1,EA,OPTICAL QUICK ACCESS RECORDER,,Airbus,557009-005,,0,,,
D5211000100000,,AR,1,EA,DOOR ASSY - FWD PAX L/H,,Airbus,LE2727,,0,,,
D5211000100000B00,,AR,1,EA,LH FWD PAX DOOR,,Airbus,LE1907,,0,,,
D5211000100100,,AR,1,EA,PAX DOOR,,Airbus,LE2727,,0,,,
D5211000100100B00,,AR,1,EA,"DOOR, R-1",,Airbus,LE1907,,0,,,
D5211100100000,,AR,1,EA,DOOR ASSY - FWD PAX L/H,,Airbus,LE2717,,0,,,
D5211100100000B00,,AR,1,EA,LH AFT PAX DOOR,,Airbus,LE1931,,0,,,
D5211100100100,,AR,1,EA,PAX DOOR,,Airbus,LE2717,,0,,,
D5211100100100B00,,AR,1,EA,"DOOR, R-2",,Airbus,LE-1931,,0,,,
D5227900200600,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH2959,,0,,,
D5227900200600,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH-5138,,0,,,
D5227900200600,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH-5137,,0,,,
D5227900200700,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH-5137,,0,,,
D5227900200700,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH-5138,,0,,,
D5227900200700,,AR,1,EA,DOOR ASSY-EMERGENCY EXIT,,Airbus,UH2959,,0,,,
D5237180000000,,AR,1,EA,"DOOR ASSY - CARGO COMPARTMENT, FWD",,Airbus,UH-1976,,0,,,
D5237180000800,,AR,1,EA,CARGO DOOR,,Airbus,UH-4058,,0,,,
D5237197000800,,AR,1,EA,CARGO DOOR,,Airbus,UH-4058,,0,,,
D5237200002400,,AR,1,EA,BULK CARGO DOOR,,Airbus,UH-3058,,0,,,
D5237295000000,,AR,1,EA,DOOR ASSY - CARGO COMPARTMENT AFT,,Airbus,UH1976,,0,,,
D5241012501000,,AR,1,EA,FWD E&E DOOR ACCESS,,Airbus,NZ1989,,0,,,
D5241012502000,,AR,1,EA,AVIONICS ACCESS DOOR,,Airbus,2961,,0,,,
D5241014800400,,AR,1,EA,ACCESS DOOR RH,,Airbus,2959,,0,,,
D5241014800400,,AR,1,EA,ACCESS DOOR RH,,Airbus,NZ1980,,0,,,
D5241018000400,,AR,1,EA,ACCESS DOOR LH,,Airbus,NZ1979,,0,,,
D5241018000400,,AR,1,EA,ACCESS DOOR LH,,Airbus,2929,,0,,,
D5241020700400,,AR,1,EA,AFT E&E DOOR ACCESS,,Airbus,2901,,0,,,
D5241020700400,,AR,1,EA,AFT E&E DOOR ACCESS,,Airbus,NZ1980,,0,,,
D5247000500200,,AR,1,EA,DOOR ASSY-SERVICE DOOR- FLT RE,,Airbus,N/A,,0,,,
D5248550000400,,AR,1,EA,DOOR-ACCESS,,Airbus,1976,,0,,,
D5248550000800,,AR,1,EA,ACCESS DOOR L/H,,Airbus,12004,,0,,,
D5248570000400,,AR,1,EA,DOOR-ACCESS,,Airbus,1974,,0,,,
D5248570001000,,AR,1,EA,DOOR ASSY,,Airbus,12004,,0,,,
D5281008901600,,AR,1,EA,DOOR ASSY NLG AFT,,Airbus,NT1999,,0,,,
D5281008901700,,AR,1,EA,DOOR ASSY NLG AFT,,Airbus,NT2005,,0,,,
D5284000800600,,AR,1,EA,HINGED FAIRING ASSY LH,,Airbus,J5M481007,,0,,,
D5284000800700,,AR,1,EA,HINGED FAIRING ASSY,,Airbus,J5MH80010,,0,,,
D52853012000,,AR,1,EA,HINGE ASSY,,Airbus,N/A,,0,,,
D5285600000200,,AR,1,EA,LEG FAIRING ASSY LH,,Airbus,J5M479001,,0,,,
D5285600000300,,AR,1,EA,LEG FAIRING ASSY,,Airbus,J5M477004,,0,,,
D52856010002,,AR,1,EA,UC LEG FAIRING GA,,Airbus,J5A225001,,0,,,
D52856010003,,AR,1,EA,LEG FAIRING,,Airbus,J5A221004,,0,,,
D5311085100000,,AR,1,EA,CENTRAL SHIELD,,Airbus,NSN,,0,,,
D5311085100000,,AR,1,EA,CENTRAL SHIELD,,Airbus,1923,,0,,,
D5311085200000,,AR,1,EA,LH SHIELD,,Airbus,709,,0,,,
D5311085200000,,AR,1,EA,LH SHIELD,,Airbus,NSN,,0,,,
D5311085300000,,AR,1,EA,RH SHIELD,,Airbus,NSN,,0,,,
D5311085300000,,AR,1,EA,RH SHIELD,,Airbus,1923,,0,,,
D5323185200000,,AR,1,EA,PANEL ASSY,,Airbus,HD386,,0,,,
D5323185800000,,AR,1,EA,"PANEL ASSY, LOWER",,Airbus,HD382,,0,,,
D5323187200000,,AR,1,EA,PANEL ASSY,,Airbus,N/A,,0,,,
D5331015900400,,AR,1,EA,"DOOR, ACCESS PANEL",,Airbus,HD1002,,0,,,
D5331015900400,,AR,1,EA,"DOOR, ACCESS PANEL",,Airbus,HD 2176,,0,,,
D5331016600400,,AR,1,EA,PANEL ASSY,,Airbus,HD2171,,0,,,
D5331016600500,,AR,1,EA,PANEL ASSY,,Airbus,HD 2176,,0,,,
D5331034500400,,AR,1,EA,FAIRING ASSY,,Airbus,HD1004,,0,,,
D5331103800000,,AR,1,EA,PANEL ASSY,,Airbus,HD1004,,0,,,
D5335000900800,,AR,1,EA,PANEL ASSY,,Airbus,N/A,,0,,,
D5335000900900,,AR,1,EA,PANEL ASSY,,Airbus,N/A,,0,,,
D5337170605200,,AR,1,EA,"PANEL, LOWER ACCESS L/H",,Airbus,N/A,,0,,,
D533-71706-054,,AR,1,EA,FAIRING,,Airbus,146,,0,,,
D5337170702000,,AR,1,EA,ACCESS DOOR ASSY,,Airbus,N/A,,0,,,
190-70980-405,,SV,1,EA,RETRACTION ACTUATOR MLG - EQUIPPED,,Embraer,973,,0,,,
190-70980-405,,SV,1,EA,RETRACTION ACTUATOR MLG - EQUIPPED,,Embraer,949,,0,,,
D5337171605200,,AR,1,EA,"PANEL, LOWER ACESS, R/H",,Airbus,N/A,,0,,,
D5337171702000,,AR,1,EA,ACCESS DOOR ASSY,,Airbus,N / A,,0,,,
D5337172001000,,AR,1,EA,"DOOR, SELECTOR VALVE LH",,Airbus,N/A,,0,,,
D5337173005400,,AR,1,EA,FAIRING WING TO FUSE. 36-40,,Airbus,UH,,0,,,
D5337176005400R,,AR,1,EA,WING TO BODY PANEL RH,,Airbus,UH-0850,,0,,,
D5337177005000,,AR,1,EA,FAIRNING-WING TO FUSELAGE-LH,,Airbus,UH0951,,0,,,
D5337177505400,,AR,1,EA,FAIRING-WING TO FUSELAGE,,Airbus,N/A,,0,,,
D5337178000200,,AR,1,EA,FAIRING ASSY-WING TO FUSELAGE,,Airbus,N/A,,0,,,
D5337178601000M,,AR,1,EA,FAIRING-UPR,,Airbus,UH-0869,,0,,,
D5337178601100,,AR,1,EA,FAIRING-UPPER,,Airbus,UH-0869,,0,,,
D5337501001100Q,,AR,1,EA,FAIRING ASSY RH,,Airbus,UH-1023,,0,,,
D5337509005200,,AR,1,EA,"FAIRING, WING -TO FUSELAGE",,Airbus,DH0260,,0,,,
D5347501005600AE,,AR,1,EA,FAIRING,,Airbus,UH-0928,,0,,,
D5347502005600AE,,AR,1,EA,WING TO BODY FAIRING RH,,Airbus,UH0861,,0,,,
D5347503005200,,AR,1,EA,FAIRING,,Airbus,N/A,,0,,,
D5347504005400,,AR,1,EA,FAIRING-AFT,,Airbus,N/A,,0,,,
D5347523500600G,,AR,1,EA,FAIRING R/H,,Airbus,UH-0136,,0,,,
D5348005700851,,AR,1,EA,"PANEL ASSY-SERVICE DOOR, PORT WATER",,Airbus,N/A,,0,,,
D5348005900052,,AR,1,EA,PANAL ASSY-SERVICE DOOR LAV,,Airbus,N/A,,0,,,
D5357072500600,,AR,1,EA,FAIRING VERT. STAB BEH,,Airbus,2047,,0,,,
D5357072500700,,AR,1,EA,FAIRING VERT. STAB BEH,,Airbus,2054,,0,,,
D5453032200400,,AR,1,EA,PANEL,,Airbus,N/A,,0,,,
D5453033900000,,AR,1,EA,PANEL,,Airbus,N/A,,0,,,
D5453037700100,,AR,1,EA,PANEL,,Airbus,N/ A,,0,,,
D5453037900000,,AR,1,EA,PANEL,,Airbus,N/A,,0,,,
D5453037980100,,AR,1,EA,PANEL,,Airbus,N/A,,0,,,
D5453038300000,,AR,1,EA,FILLET,,Airbus,N/A,,0,,,
D5453038500000,,AR,1,EA,FILLET,,Airbus,N/A,,0,,,
D5453038500100,,AR,1,EA,FILLET,,Airbus,N/A,,0,,,
D5453038700000,,AR,1,EA,"FILLET ASSY-OUTER,PAINTED LH",,Airbus,N/A,,0,,,
D5453038703100,,AR,1,EA,FILLET ASSY-OUTER R/H,,Airbus,N/A,,0,,,
D5453038900100,,AR,1,EA,FILLET ASSY-INNER R/H,,Airbus,N/A,,0,,,
D5517003000000,,AR,1,EA,"FAIRING, HTP",,Airbus,498,,0,,,
D5517003000100,,AR,1,EA,"FAIRING, HTP",,Airbus,502,,0,,,
D5517004000000,,AR,1,EA,"FAIRING ASSY LH, HTP",,Airbus,SN-0509,,0,,,
D5517004000100,,AR,1,EA,"FAIRING, HTP",,Airbus,SN-0513,,0,,,
D551-83116-002,,AR,1,EA,LEX ASSY L/H,,Airbus,AR924,,0,,,
D551-83116-003,,AR,1,EA,"LEX ASSY, R/H",,Airbus,AR903,,0,,,
D551-83300-004,,AR,1,EA,HORIZONTAL STAB PANEL L/H I/B,,Airbus,AR975,,0,,,
D551-83300-005,,AR,1,EA,LEADING EDGE,,Airbus,AR933,,0,,,
D551-83400-004,,AR,1,EA,LEADING EDGE,,Airbus,AR996,,0,,,
D551-83400-005,,AR,1,EA,LEADING EDGE,,Airbus,AR982,,0,,,
D5518421001000,,AR,1,EA,ASSY PANEL 1 L/H,,Airbus,C020800,,0,,,
D5518421001100,,AR,1,EA,ASSY PANEL 1,,Airbus,C020792,,0,,,
D5518423001000,,AR,1,EA,ASSY PNL #3,,Airbus,C020806,,0,,,
D5518423001100,,AR,1,EA,ASSY PANEL #3,,Airbus,C020806,,0,,,
D5518424001000,,AR,1,EA,ASSY PANEL 4 L/H,,Airbus,C020797,,0,,,
D5518424001100,,AR,1,EA,ASSY PNL 4 R/H,,Airbus,C020786,,0,,,
D55184300-009,,AR,1,EA,PANEL ASSY - ACCESS 1 LOWER,,Airbus,C0376,,0,,,
D5518430001000,,AR,1,EA,ACCESS DOOR #1 ASSY,,Airbus,C020791,,0,,,
D5518430001100,,AR,1,EA,ACCESS DOOR # 1 ASSY,,Airbus,C020801,,0,,,
D5518431001000,,AR,1,EA,ASSY ACCESS DOOR #2,,Airbus,C020794,,0,,,
D5518431001100,,AR,1,EA,"ACCESS DOOR # 11, ASSY",,Airbus,C02078R,,0,,,
