Part Number;Description;Category;Qty In Stock;UM;Cond
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
080-20705-01;TRANSFORMER RECTIFIR UNIT;B737-700;1;EA;SV
080-261-004;HARNESS WING TANK FUEL GAUGING;Embraer 190;1;EA;AR
080-261-004;HARNESS WING TANK FUEL GAUGING;Embraer 190;1;EA;AR
0861ED;AOA SENSOR;A320;1;EA;AR
0861ED;AOA SENSOR;A320;1;EA;SV
0871LD2;DETECTOR-ICE;Embraer 190;1;EA;SV
1000434-1;WATER INJECTOR;Embraer 190;1;EA;AR
1000434-1;WATER INJECTOR;Embraer 190;1;EA;AR
1000434-1;WATER INJECTOR;Embraer 190;1;EA;AR
1000700-5;ACM-AIR CYCLE MACHINE;Embraer 190;1;EA;SV
1000700-5;ACM-AIR CYCLE MACHINE;Embraer 190;1;EA;AI
1001050-4-016;AMS PROCESSOR;Embraer 190;1;EA;AR
1001050-4-016;AMS PROCESSOR;Embraer 190;1;EA;AR
1001050-6-016;AMS PROCESSOR;Embraer 190;1;EA;AR
1001050-6-016;AMS PROCESSOR;Embraer 190;1;EA;AR
1001060-2;CARD-AMS I/O;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001060-4;AMS I/O CARD;Embraer 190;1;EA;AR
1001070-2;CARD-AMS MOTOR DRIVER;Embraer 190;1;EA;AR
1001070-4;AMS CARD MOTOR DRIVER;Embraer 190;1;EA;AR
1001070-4;AMS CARD MOTOR DRIVER;Embraer 190;1;EA;SV
1001249-2;VALVE-WING ANTI ICE;Embraer 190;1;EA;AR
1001249-2;VALVE-WING ANTI ICE;Embraer 190;1;EA;AR
1001250-2;VALVE-LOW LIMIT BYPASS;Embraer 190;1;EA;AR
1001250-2;VALVE-LOW LIMIT BYPASS;Embraer 190;1;EA;SV
1001250-3;VALVE-LOW LIMIT BYPASS;Embraer 190;1;EA;AR
1001250-3;VALVE-LOW LIMIT BYPASS;Embraer 190;1;EA;SV
1001251-1;VALVE-RAM AIR DOOR;Embraer 190;1;EA;AR
1001252-2;CHECK VALVE-CONDITIONED AIR;Embraer 190;1;EA;AR
1001252-2;CHECK VALVE-CONDITIONED AIR;Embraer 190;1;EA;AR
1001252-2;CHECK VALVE-CONDITIONED AIR;Embraer 190;1;EA;AR
1001252-2;CHECK VALVE-CONDITIONED AIR;Embraer 190;1;EA;AR
1001451-2;GROUND BLEED AIR COUPLING;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001452-4;CHECK VALVE-EMERGENCY RAM AIR;Embraer 190;1;EA;AR
1001454-1;CHECK VALVE-CARGO COMPARTMENT;Embraer 190;1;EA;AR
1001454-1;CHECK VALVE-CARGO COMPARTMENT;Embraer 190;1;EA;AR
1001456-6;VALVE-FLOW CONTROL;Embraer 190;1;EA;AR
1001456-6;VALVE-FLOW CONTROL;Embraer 190;1;EA;AI
1001497-2;VALVE-SHUTOFF;Embraer 190;1;EA;AR
1001497-2;VALVE-SHUTOFF;Embraer 190;1;EA;AR
1001778-3;FLOW SENSOR;Embraer 190;1;EA;AI
1002391-1;SENSOR, PRESSURE;Embraer 190;1;EA;AR
1002391-1;SENSOR, PRESSURE;Embraer 190;1;EA;AR
1002391-1;SENSOR, PRESSURE;Embraer 190;1;EA;AR
100-2676-105-03;CAMERA SURVEILLANCE;Embraer 190;1;EA;AR
100-2676-105-03;CAMERA SURVEILLANCE;Embraer 190;1;EA;AR
100-2676-105-03;CAMERA SURVEILLANCE;Embraer 190;1;EA;AI
1002751-1;Y DUCT PIPE;Embraer 190;1;EA;AR
1002752-1;HIGH TEMP PIPE;Embraer 190;1;EA;AR
1002753-1;HIGH TEMP PIPE;Embraer 190;1;EA;AR
1002793-2;PRECOOLER-BLEED AIR E190;Embraer 190;1;EA;AR
1002793-2;PRECOOLER-BLEED AIR E190;Embraer 190;1;EA;AR
1002793-2;PRECOOLER-BLEED AIR E190;Embraer 190;1;EA;OH
1002793-2;PRECOOLER-BLEED AIR E190;Embraer 190;1;EA;AR
1002832-1;DUAL HEAT EXHANGER;Embraer 190;1;EA;OH
1003520-1;WATER COLLECTOR;Embraer 190;1;EA;SV
1003520-1;WATER COLLECTOR;Embraer 190;1;EA;SV
10065-5000-02;FQIS DENSIMETER;B737-800;1;EA;SV
10065-5000-02;FQIS DENSIMETER;B737-800;1;EA;AR
10065-5000-02;FQIS DENSIMETER;B737-800;1;EA;AR
1007086-5;VALVE-ENGINE FAN AIR;Embraer 190;1;EA;AR
1007086-5;VALVE-ENGINE FAN AIR;Embraer 190;1;EA;AR
1007086-5;VALVE-ENGINE FAN AIR;Embraer 190;1;EA;AR
1007086-5;VALVE-ENGINE FAN AIR;Embraer 190;1;EA;AR
10087-0101;INDICATOR - MULTITANK;A321;1;EA;AR
10088-0101;PRESELECTOR;A321;1;EA;AR
100923-1;SENSOR,  TEMP;A319;1;EA;AR
10101000CK;VALVE, DRAIN LAV SERVICE PANEL;A319;1;EA;AI
10-1037-3;ATT. LIGHT;B737-800;1;EA;AR
10-1092-01;FIRE/OVERHEAT DETECTOR;;1;EA;AR
10-1113-3;DOME LIGHT;B737-700;1;EA;AR
1012191-1;HPSOV PRESSURE SWITCH;Embraer 190;1;EA;AR
1012191-1;HPSOV PRESSURE SWITCH;Embraer 190;1;EA;AR
1012191-1;HPSOV PRESSURE SWITCH;Embraer 190;1;EA;AR
1012191-1;HPSOV PRESSURE SWITCH;Embraer 190;1;EA;AR
10147-0101;INDICATOR;B737-800;1;EA;AR
10148-0101;FUEL QTY IND.;B737-800;1;EA;SV
10148-0101;FUEL QTY IND.;B737-800;1;EA;AR
10166N01N00;INDICATOR RUDDER TRIM;B737;1;EA;SV
102-00000;TEMP SENSOR;F100;1;EA;AR
103-00163;TEMPERATURE SENSOR;Embraer 190;1;EA;AR
104003-2;EMERGENCY EVACUATIONSLIDE ASSY, FWD;Embraer 190;1;EA;OH
104005-1;EMERGENCY EVACUATION SLIDE ASSY, AF;Embraer 190;1;EA;OH
10-60897-86;WAVEGUIDE FLEXIBLE RIGID ASSY;B737-800;1;EA;AR
1070B0000-04;ACTUATOR - FLAP;A321;1;EA;AR
1071B0000-04;ACTUATOR - FLAP;A321;1;EA;AR
1072A0000-04;FLAP ROTARY ACTUATOR # 2;A321;1;EA;AR
1072A0000-04;FLAP ROTARY ACTUATOR # 2;A321;1;EA;AR
1073A0000-04;ACTUATOR - FLAP ROTARY #3;A321;1;EA;AR
1074C0000-01;ACTUATOR - FLAP ROTARY #4;A321;1;EA;AR
1074C0000-01;ACTUATOR - FLAP ROTARY #4;A321;1;EA;AR
1091A0000-01;WATER INJECTOR;A319;1;EA;AR
1091A0000-01;WATER INJECTOR;A319;1;EA;AR
10A348-350-450;CONNECTOR;A320;1;EA;AR
110-337-01;ANTENNA,ELT ANTENNA WITH ELASTOMERE;Embraer 190;1;EA;AR
110-337-01;ANTENNA,ELT ANTENNA WITH ELASTOMERE;Embraer 190;1;EA;AR
110A0113-56;FUEL DOOR ASSY RH;B737-700;1;EA;SV
1122492;TRANSMITTER,ASSY;RB211;1;EA;AR
1122492;TRANSMITTER,ASSY;RB211;1;EA;AR
1122492;TRANSMITTER,ASSY;RB211;1;EA;AR
1122599;TEMP SENSOR;B737-800;1;EA;AR
1122599;TEMP SENSOR;B737-800;1;EA;AR
112A5067-5;DOOR ASSY L/H;B737-800;1;EA;AR
112A5067-6;PANEL;B737-700;1;EA;AR
113A1150-1;FLAP TRACK FITTING ASSY LH;B737-800;1;EA;AR
113A1150-2;FLAP TRACK FITTING ASSY RH;B737-800;1;EA;AR
113A1319-1;FITTING;B737-800;1;EA;AR
113A1319-1;FITTING;B737-800;1;EA;AR
113A1351-1;SUPPORT;B737-800;1;EA;AR
113A1351-1;SUPPORT;B737-800;1;EA;AR
113A1550-11;FITTING ASSY;B737-800;1;EA;AR
113A1550-111;FLAP TRACK FITTING;B737-800;1;EA;AR
113A1551-1;FITTING ASSY;B737-800;1;EA;AR
113A1551-1;FITTING ASSY;B737-800;1;EA;AR
113A1750-107;FLAP TRACK FITTING;B737-800;1;EA;AR
113A7300-1;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-10;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-11;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-12;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-13;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-14;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-2;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
113A7300-9;COUNTER WEIGHT PANEL;B737-800;1;EA;AR
114079015;VALVE - SELECTOR, GEAR;A320;1;EA;AR
114079016;VALVE - SELECTOR, DOOR;A320;1;EA;AR
114080003;BLOCK MANIFOLD, HYD;A319;1;EA;AR
114083003;VENT VALVE;B737;1;EA;SV
114083003;VENT VALVE;B737;1;EA;AR
114083003;VENT VALVE;B737;1;EA;AR
114083003;VENT VALVE;B737;1;EA;AR
114083003;VENT VALVE;B737;1;EA;AR
114086001;VALVE-CUT OUT;A321;1;EA;SV
114087006;DOOR BYPASS VALVE;A319;1;EA;AR
114087006;DOOR BYPASS VALVE;A319;1;EA;AR
114193007;RETRACTION ACTUATOR;;1;EA;AR
114193007;RETRACTION ACTUATOR;;1;EA;AR
1142301-130-01;ENTERTAINMENT CONTROLLER;A319;1;EA;AR
11483-000;HEAT EXCHANGER;B737-700;1;EA;AR
11483-000;HEAT EXCHANGER;B737-700;1;EA;AR
1151324-1M563;PORTABLE ELT;A320;1;EA;AR
1152464-265;APU START POWER UNIT,CONTROL;B737-700;1;EA;AR
1158000-21;VALVE REFUEL;A320;1;EA;AR
1158000-21;VALVE REFUEL;A320;1;EA;AR
1158000-21;VALVE REFUEL;A320;1;EA;AR
1158000-21;VALVE REFUEL;A320;1;EA;SV
1158000-21;VALVE REFUEL;A320;1;EA;SV
1158000-21;VALVE REFUEL;A320;1;EA;AR
1158000-21;VALVE REFUEL;A320;1;EA;AR
115A2712-14;PANEL ASSY R/H;B737-700;1;EA;AR
115A2722-911/J;PANEL 551DB;B737-800;1;EA;AR
115A4710-202;PANEL ASSY;B737-800;1;EA;AR
115A4711-4;PANEL ASSY;B737-800;1;EA;AR
115A4712-5;PANEL ASSY;B737-800;1;EA;AR
115A4712-6;PANEL ASSY;B737-800;1;EA;AR
115A4721-901/J2;PANEL 571CB;B737-800;1;EA;AR
115A5240-1;HOUSING ASSY;B737-800;1;EA;OH
115A5280-1;CAP FUSE PIN RENTENTION;;4;EA;OH
115A5283-1;NUT;;1;EA;OH
115A5283-1;NUT;;1;EA;OH
115A5284-1;ROD;;2;EA;OH
116A6105-HF;R/H PANEL 621AAB;B737-800;1;EA;AR
116A8510-13;DOOR ASSY, PANEL 521BB;B737-800;1;EA;AR
116A8510-14;ENGINE SHUTOFF VALVE PANEL;B737-800;1;EA;AR
116A8510-15;DEFUEL STATION PANEL;B737-800;1;EA;AR
116A9110-10;PANEL 621PB R/H;;1;EA;AR
116A9110-11;PANEL 521MB;;1;EA;AR
116A9110-12;PANEL 621IB R/H;;1;EA;AR
116A9110-13;PANEL 621KB;B737-800;1;EA;AR
116A9110-14;PANEL 621JB R/H;;1;EA;AR
116A9110-15;PANEL 521JB;B737-800;1;EA;AR
116A9110-16;PANEL 621HB R/H;;1;EA;AR
116A9110-17;L/E PANEL 521FB L/H;;1;EA;AR
116A9110-17;L/E PANEL 521FB L/H;;1;EA;AR
116A9110-2;PANEL 621YB R/H;B737-800;1;EA;AR
116A9110-21;L/E PANEL 521CB L/H;;1;EA;AR
116A9110-22;PANEL 621CB;;1;EA;AR
116A9110-24;PANEL 621FB;;1;EA;AR
116A9110-25;PANEL 521DB;B737-800;1;EA;AR
116A9110-26;PANEL;;1;EA;AR
116A9110-3;L/E PANEL 521WB L/H;B737-800;1;EA;AR
116A9110-4;PANEL 621VB R/H;;1;EA;AR
116A9110-5;PANEL 521TB;;1;EA;AR
116A9110-6;L/E PANEL 621SB R/H;;1;EA;AR
116A9110-8;L/E PANEL 621QB R/H;;1;EA;AR
116A9110-9;PANEL 521QB;;1;EA;AR
116A9121-1;L/E PANEL 521AAB L/H;;1;EA;AR
116A9121-10;PANEL 621TB R/H;;1;EA;AR
116A9121-11;PANEL;;1;EA;AR
116A9121-12;PANEL 621RB R/H;;1;EA;AR
116A9121-13;PANEL;;1;EA;AR
116A9121-14;L/E PANEL R/H;;1;EA;AR
116A9121-15;PANEL 521XB;;1;EA;AR
116A9121-16;L/E PANEL 621NB R/H;;1;EA;AR
116A9121-17;PANEL;;1;EA;AR
116A9121-18;L/E PANEL 621KB R/H;;1;EA;AR
116A9121-19;PANEL 521HR;B737-800;1;EA;AR
116A9121-21;PANEL 521GB L/H L/E;;1;EA;AR
116A9121-23;L/E PANEL 521EB L/H;;1;EA;AR
116A9121-3;L/E PANEL 521YB L/H;;1;EA;AR
116A9121-4;PANEL 621XB R/H;;1;EA;AR
116A9121-5;L/E PANEL XB L/H;;1;EA;AR
116A9121-6;PANEL R/H;;1;EA;AR
116A9121-7;L/E PANEL 521VB L/H;;1;EA;AR
116A9121-8;PANEL 621UB;;1;EA;AR
116A9121-9;PANEL 521UB;;1;EA;AR
1173T211;OVERHEAT SWITCH;B737-700;1;EA;SV
1173T211;OVERHEAT SWITCH;B737-700;1;EA;SV
11-851154-6;PRECOOLER EXCHANGER;A319;1;EA;OH
1187A6-23;BOX-CREW OXYGEN MASK STOWAGE;Embraer 190;1;EA;OH
1191018;ELECT CONTROL PANEL ASSY;B737-700;1;EA;AR
1191-8;AC IN-SEAT POWER SUPPLY;Embraer 190;1;EA;AR
1191-8;AC IN-SEAT POWER SUPPLY;Embraer 190;1;EA;AR
1191-8;AC IN-SEAT POWER SUPPLY;Embraer 190;1;EA;AR
1191-8;AC IN-SEAT POWER SUPPLY;Embraer 190;1;EA;AR
122648;WAVE GUIDE, RADAR;A319;1;EA;AR
123266-2-1;HOT AIR CHECK VALVE;B737;1;EA;AR
123268-1-1;COLD AIR CHECK VALVE;B737;1;EA;AR
123268-1-1;COLD AIR CHECK VALVE;B737;1;EA;SV
12507G-31;HEADSET;Embraer 190;1;EA;SV
12507G-31;HEADSET;Embraer 190;1;EA;AR
12507G-31;HEADSET;Embraer 190;1;EA;AR
12507G-31;HEADSET;Embraer 190;1;EA;AR
125329B-4;SHAFT ASSY;B737-700;1;EA;SV
125334D-2;VALVE BODY ASSEMBLY;B737-700;1;EA;AR
125334D-2;VALVE BODY ASSEMBLY;B737-700;1;EA;SV
125334D-2;VALVE BODY ASSEMBLY;B737-700;1;EA;AR
12664;RAM AIR CHECK VALVE;A319;1;EA;AR
12664;RAM AIR CHECK VALVE;A319;1;EA;AR
12664;RAM AIR CHECK VALVE;A319;1;EA;SV
12664;RAM AIR CHECK VALVE;A319;1;EA;AR
12664;RAM AIR CHECK VALVE;A319;1;EA;AR
12664;RAM AIR CHECK VALVE;A319;1;EA;AR
129694-2;SENSOR BLEED AIR OVERTEMP;B737;1;EA;SV
1330622V01;3RD OCCUPANT SEAT;A319;1;EA;SC
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-265;TRANSDUCER-WHEEL SPEED;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
140-29120;HUBCAP ASSEMBLY;Embraer 190;1;EA;AR
142-091143;BRAKE CONTROL MODULE;Embraer 190;1;EA;SV
142-091143;BRAKE CONTROL MODULE;Embraer 190;1;EA;SV
14403-007;INLET-WASTE;A319;1;EA;AR
14403-007;INLET-WASTE;A319;1;EA;AR
14404-010;VACUUM SYS CONTROLLR;A319;1;EA;SV
147A6116-22;DOOR - AFT ENTRY R2;B737;1;EA;AR
147A6502-21;DOOR - AFT SERVICE L2;B737;1;EA;AR
