Page,Row,Country,Airline,registration,type of aircraft,cn/fn,exreg,mfd,del,QT,Powered by,mtow kg,config,remarks,,,Head:,Email,WEB,TEL,C20,C30,RR,PT6A,C20R,ALL
3,42,Pakistan,Aircraft Sales & Services  = ACS,o AP-BFK,Reims Cessna 406 Caravan II,F406-0059,N3122E,1191,1296,2,PWC PT6A-112,4467,Quick Change,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,2,,2
3,43,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),,,,,,,,,,,#REF!,X,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,44,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),"AWT Plaza, 5-A The Mall, Rawalpindi, Pakistan",Tel: +92 51 5505 760,Fax: +92 51 5590 414,Email: askaria@isb.paknet.com.pk,,,,,,,,#REF!,.,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,45,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),F: 2000,ICAO: AL-AAS Web: www.askariaviation.com,,,,,,,,,,#REF!,.,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,46,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),"helicopters. It also provides transport to the Pakistan Army Aviation, for its peace-keeping missions.",,,,,,,,,,,#REF!,.,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,47,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),o N162AT,Lockheed L-1011 TriStar-500,1220,JY-AGC,0282,1211,3,RR RB211-524B,234053,Y315,lsf Barq Aviation,#REF!,.,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,48,Pakistan,Askari Aviation  = 4K / AAS  (aka Askari Aviation (PVT) Ltd.),o N164AT,Lockheed L-1011 TriStar-500,1238,JY-AGE,0982,1210,3,RR RB211-524B,234053,Y283,lsf Air Charter Express,#REF!,.,Brig Bashir Baz               ,askaria@isb.paknet.com.pk       ,www.askariaviation.com,+92 51 5505 760     ,,,,,,
3,49,Pakistan,EDHI Air Ambulance Services,EDHI Air Ambulance Services,,,,,,,,,Karachi,,#REF!,X,Mr Abdul Edhi                 ,0,0,0,,,,,,
3,50,Pakistan,EDHI Air Ambulance Services,"Boulton Market, Sarafa Bazaar, Karachi 74000, Pakistan",,,,,,,,,,,#REF!,.,Mr Abdul Edhi                 ,0,0,0,,,,,,
3,51,Pakistan,EDHI Air Ambulance Services,,,,,,,,,,,,#REF!,.,Mr Abdul Edhi                 ,0,0,0,,,,,,
3,52,Pakistan,EDHI Air Ambulance Services,o AP-BDO,Bell 206B JetRanger III,4048,,0889,0889,1,RR 250-C20J,1451,EMS,,#REF!,.,Mr Abdul Edhi                 ,0,0,0,1,,1,,,1
3,55,Pakistan,Hawk Airlines,o AP-BIY,Britten-Norman BN-2B-26 Islander,2132,G-HEBR,0984,0211,2,TL O-540-E4C5,2857,Passenger,,#REF!,.,Mr Abdul Edhi                 ,0,0,0,,,,,,
3,56,Pakistan,Hawk Airlines,o AP-BJJ,Britten-Norman BN-2B-21 Islander,476,G-BDJV,0676,0111,2,TL IO-540-K1B5,2857,Passenger,,#REF!,.,Mr Abdul Edhi                 ,0,0,0,,,,,,
3,57,Pakistan,JDW Aviation (Pvt) Ltd,JDW Aviation (Pvt) Ltd,,,,,,,,,Lahore-Walton,,#REF!,X,Mr Jehangir Khan Tareen       ,0,0,+92 425843414       ,,,,,,
3,58,Pakistan,JDW Aviation (Pvt) Ltd,"Walton Aerodrome, Lahore, Pakistan",Tel: +92 425843414,,,,,,,,,,#REF!,.,Mr Jehangir Khan Tareen       ,0,0,+92 425843414       ,,,,,,
3,59,Pakistan,JDW Aviation (Pvt) Ltd,Head: Mr Jehangir Khan Tareen,,,,,,,,,,,#REF!,.,Mr Jehangir Khan Tareen       ,0,0,+92 425843414       ,,,,,,
3,60,Pakistan,JDW Aviation (Pvt) Ltd,o AP-JDW,Beechcraft King Air B200GT,BY-81,,1009,1009,2,PWC PT6A-52,5670,Executive,,#REF!,.,Mr Jehangir Khan Tareen       ,0,0,+92 425843414       ,,,,2,,2
3,61,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,Pakistan Aviators & Aviation (Pvt.) Ltd.,,,,,,,,,,,#REF!,X,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,,,
3,62,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,"Hangar No 1, ADA Gate, Lahore 54810, Pakistan",Tel: +92 42 36685592,Fax: +92 42 6600067,Email: info@pakistanaviators.com,,,,,,,,#REF!,.,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,,,
3,63,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,Head: Mr Aijaz Ahmed,Web: www.pakistanaviators.com,,,,,,,,,,#REF!,.,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,,,
3,64,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,o AP-MHM,Beechcraft King Air 200 (BLR),BB-1911,ZS-CPM,1005,0412,2,PWC PT6A-42,5670,Executive,,#REF!,.,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,2,,2
3,65,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,o AP-BHD,Cessna 550 Citation Bravo,550-1102,,0405,0405,2,PWC PW530A,6713,Executive,,#REF!,.,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,,,
3,66,Pakistan,Pakistan Aviators & Aviation (Pvt.) Ltd.,o AP-MMM,Gulfstream G150,239,,0108,0108,2,GA TFE731-40AR-200G,13086,Executive,,#REF!,.,Mr Aijaz Ahmed                ,info@pakistanaviators.com       ,www.pakistanaviators.com,+92 42 36685592     ,,,,,,
3,67,Pakistan,Pakistan International Airlines,Pakistan International Airlines,= PK / PIA  (aka PIA),,,,,,,,,,#REF!,X,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,68,Pakistan,Pakistan International Airlines,"PIA Head Office, Old Airport, Karachi 75200, Pakistan",Tel: +92 21 9904 0000,Fax: +92 21 3457 8700,Email: info@piac.aero,,,,,,,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,69,Pakistan,Pakistan International Airlines,F: 1951,IATA: 214 ICAO: PAKISTAN,Web: www.piac.aero,,,,,,,,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,70,Pakistan,Pakistan International Airlines,America. An extensive domestic network links 24 destinations throughout Pakistan.,,,,,,,,,,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,71,Pakistan,Pakistan International Airlines,o AP-BDZ,Airbus A310-308,585,,0391,0691,2,GE CF6-80C2A8,157000,C12PY40Y132,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,72,Pakistan,Pakistan International Airlines,o AP-BEB,Airbus A310-308,587,,0491,0791,2,GE CF6-80C2A8,157000,C12PY40Y132,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,73,Pakistan,Pakistan International Airlines,o AP-BEC,Airbus A310-308,590,,0691,0991,2,GE CF6-80C2A8,157000,C12PY40Y132,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,74,Pakistan,Pakistan International Airlines,o AP-BEG,Airbus A310-308,653,,0692,0992,2,GE CF6-80C2A8,157000,C12PY40Y132,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,75,Pakistan,Pakistan International Airlines,o AP-BEQ,Airbus A310-308,656,,0892,1293,2,GE CF6-80C2A8,157000,C12PY40Y132,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,76,Pakistan,Pakistan International Airlines,o AP-BEU,Airbus A310-308,691,,0294,0594,2,GE CF6-80C2A8,157000,C12PY40Y132,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,77,Pakistan,Pakistan International Airlines,o AP-BGN,Airbus A310-324,676,F-WQTG,0493,0304,2,PW PW4152,157000,C18PY43Y144,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,78,Pakistan,Pakistan International Airlines,o AP-BGO,Airbus A310-324,678,F-WQTC,0593,1203,2,PW PW4152,157000,C18PY43Y144,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,79,Pakistan,Pakistan International Airlines,o AP-BGP,Airbus A310-324,682,F-WQTF,0693,0304,2,PW PW4152,157000,C18PY43Y144,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,80,Pakistan,Pakistan International Airlines,o AP-BGQ,Airbus A310-324,660,F-OGYT,1092,0504,2,PW PW4152,157000,C18PY45Y142,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,81,Pakistan,Pakistan International Airlines,o AP-BGR,Airbus A310-324,687,F-OGYU,0993,0704,2,PW PW4152,157000,C18PY45Y142,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,82,Pakistan,Pakistan International Airlines,o AP-BGS,Airbus A310-324,689,F-OGYV,0993,0604,2,PW PW4152,157000,C18PY43Y144,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,83,Pakistan,Pakistan International Airlines,o AP-BHH,ATR 42-500,645,,0506,0506,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,84,Pakistan,Pakistan International Airlines,o AP-BHI,ATR 42-500,653,,1106,1106,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,85,Pakistan,Pakistan International Airlines,o AP-BHJ,ATR 42-500,657,,1206,1206,2,PWC PW127,18600,C10Y38,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,86,Pakistan,Pakistan International Airlines,o AP-BHM,ATR 42-500,659,,0207,0307,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,87,Pakistan,Pakistan International Airlines,o AP-BHN,ATR 42-500,661,,0307,0407,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,88,Pakistan,Pakistan International Airlines,o AP-BHO,ATR 42-500,663,,0507,0507,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,89,Pakistan,Pakistan International Airlines,o AP-BHP,ATR 42-500,665,,0607,0007,2,PWC PW127,18600,C10Y38,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,90,Pakistan,Pakistan International Airlines,o AP-BCB,Boeing 737-340,23295 / 1116,,0585,0685,2,CFM CFM56-3B2,61461,PY24Y94,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,91,Pakistan,Pakistan International Airlines,o AP-BCD,Boeing 737-340,23297 / 1122,,0685,1085,2,CFM CFM56-3B2,61461,PY24Y94,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,92,Pakistan,Pakistan International Airlines,o AP-BCF,Boeing 737-340,23299 / 1235,,0586,0686,2,CFM CFM56-3B2,61461,PY24Y94,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,93,Pakistan,Pakistan International Airlines,o AP-BEH,Boeing 737-33A,25504 / 2341,,0792,0992,2,CFM CFM56-3B2,61461,PY24Y94,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,94,Pakistan,Pakistan International Airlines,o AP-BFT,Boeing 737-340,23298 / 1123,AP-BCE,0685,0685,2,CFM CFM56-3B2,61461,PY24Y94,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,95,Pakistan,Pakistan International Airlines,o AP-BFU,Boeing 747-367,23392 / 634,B-HIJ,0286,0499,4,RR RB211-524C2,362873,C30Y448,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,96,Pakistan,Pakistan International Airlines,o AP-BFV,Boeing 747-367,23534 / 659,B-HIK,1086,0499,4,RR RB211-524C2,362873,C30Y448,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,97,Pakistan,Pakistan International Airlines,o AP-BFW,Boeing 747-367,23221 / 615,B-HII,0585,0699,4,RR RB211-524C2,362873,C30Y448,Stored,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,98,Pakistan,Pakistan International Airlines,o AP-BFY,Boeing 747-367,23920 / 690,B-HOM,1087,0799,4,RR RB211-524C2,362873,C30Y448,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,99,Pakistan,Pakistan International Airlines,o AP-BGG,Boeing 747-367,24215 / 709,B-HON,0788,1002,4,RR RB211-524C2,362873,C30Y448,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,100,Pakistan,Pakistan International Airlines,o AP-BGJ,Boeing 777-240ER,33775 / 467,,0104,0104,2,GE GE90-94B,273970,C35PY45Y240,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,101,Pakistan,Pakistan International Airlines,o AP-BGK,Boeing 777-240ER,33776 / 469,,0204,0204,2,GE GE90-94B,273970,C35PY45Y240,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,102,Pakistan,Pakistan International Airlines,o AP-BGL,Boeing 777-240ER,33777 / 473,,0304,0304,2,GE GE90-94B,273970,C35PY45Y240,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,103,Pakistan,Pakistan International Airlines,o AP-BGY,Boeing 777-240LR,33781 / 504,N60659,0305,0206,2,GE GE90-110B1,340194,C35PY60Y215,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,104,Pakistan,Pakistan International Airlines,o AP-BGZ,Boeing 777-240LR,33782 / 519,N6066Z,0505,0306,2,GE GE90-110B1,340194,C35PY60Y215,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,105,Pakistan,Pakistan International Airlines,o AP-BHX,Boeing 777-240ER,35296 / 613,,0207,0307,2,GE GE90-94B,273970,C35PY54Y240,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,106,Pakistan,Pakistan International Airlines,o AP-BHV,Boeing 777-340ER,33778 / 601,,1206,1206,2,GE GE90-115B,340194,C35PY60Y304,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,107,Pakistan,Pakistan International Airlines,o AP-BHW,Boeing 777-340ER,33779 / 611,,0107,0207,2,GE GE90-115B,340194,C35PY60Y304,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
3,108,Pakistan,Pakistan International Airlines,o AP-BID,Boeing 777-340ER,33780 / 705,,0308,0308,2,GE GE90-115B,340194,C35PY60Y304,,#REF!,.,Mr Muhammad Junaid Yunus      ,info@piac.aero       ,www.piac.aero,+92 21 9904 0000    ,,,,,,
